",""FECHA"",""DESDE"",""HASTA"",""LINEA"",""MOLINETE"",""ID_ESTACION"",""ESTACION"",""PAX_PAGOS"",""PAX_PASES_PAGOS"",""PAX_FREQ"",""TOTAL"""
"1,""2019-09-01"",""05:15:00"",""05:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",1,0,0,1"
"2,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",3,0,0,3"
"3,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"4,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",5,0,0,5"
"5,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",1,0,0,1"
"6,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",1,0,0,1"
"7,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",6,0,0,6"
"8,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",9,0,0,9"
"9,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"10,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",6,0,0,6"
"11,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",12,0,0,12"
"12,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"13,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"14,""2019-09-01"",""06:30:00"",""06:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",10,0,0,10"
"15,""2019-09-01"",""06:30:00"",""06:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",12,0,0,12"
"16,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",22,0,0,22"
"17,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"18,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",18,0,0,18"
"19,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"20,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",27,0,0,27"
"21,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"22,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"23,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,0,0,27"
